,Headline,Link
25,"[""Quebec mother Adele Sorella found guilty of second-degree murder in daughters\\' deaths""]",['https://news.google.com/articles/CBMibmh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9uZXdzL25ld3NhbGVydC1xdWViZWMtbW90aGVyLWZvdW5kLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kYXVnaHRlcnMtZGVhdGhz0gG7AWh0dHBzOi8vbmF0aW9uYWxwb3N0LWNvbS5jZG4uYW1wcHJvamVjdC5vcmcvdi9zL25hdGlvbmFscG9zdC5jb20vbmV3cy9uZXdzYWxlcnQtcXVlYmVjLW1vdGhlci1mb3VuZC1ndWlsdHktb2Ytc2Vjb25kLWRlZ3JlZS1tdXJkZXItaW4tZGF1Z2h0ZXJzLWRlYXRocy9hbXA_YW1wX2pzX3Y9MC4xI3dlYnZpZXc9MSZjYXA9c3dpcGU']
26,"[""Quebec mother found guilty of second-degree murder in daughters\\' deaths""]",['https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vY2FuYWRhL2FydGljbGUtcXVlYmVjLWp1cnktZmluZHMtbW90aGVyLWd1aWx0eS1vZi1zZWNvbmQtZGVncmVlLW11cmRlci1pbi1kZWF0aHMtb2Yv0gEA']
27,['Adele Sorella guilty of second-degree murder in deaths of daughters'],['https://news.google.com/articles/CBMiRmh0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvYWRlbGUtc29yZWxsYS1tdXJkZXItdHJpYWzSAZYBaHR0cHM6Ly9tb250cmVhbGdhemV0dGUtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvYWRlbGUtc29yZWxsYS1tdXJkZXItdHJpYWwvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
28,['1 in 4 Canadians say SNC-Lavalin affair will influence their vote: Nanos'],['https://news.google.com/articles/CAIiEJwV30eqoeknZA1E39yLx0oqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY']
29,['EDITORIAL: Lavscam jobs spin will increase regional tensions'],['https://news.google.com/articles/CBMiZWh0dHBzOi8vdG9yb250b3N1bi5jb20vb3Bpbmlvbi9lZGl0b3JpYWxzL2VkaXRvcmlhbC1sYXZzY2FtLWpvYnMtc3Bpbi13aWxsLWluY3JlYXNlLXJlZ2lvbmFsLXRlbnNpb25z0gGwAWh0dHBzOi8vdG9yb250b3N1bi1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy90b3JvbnRvc3VuLmNvbS9vcGluaW9uL2VkaXRvcmlhbHMvZWRpdG9yaWFsLWxhdnNjYW0tam9icy1zcGluLXdpbGwtaW5jcmVhc2UtcmVnaW9uYWwtdGVuc2lvbnMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl']
30,['Wilson-Raybould running as a Liberal in the federal election'],['https://news.google.com/articles/CAIiEPEtCkfetCNP9jlTuYPAJ-AqGQgEKhAIACoHCAow6f-ICzDjj4gDMKGZnwY']
31,['More than half of Canadians say charges against SNC-Lavalin should go to criminal trial: poll'],['https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS1tb3JlLXRoYW4taGFsZi1vZi1jYW5hZGlhbnMtc2F5LWNoYXJnZXMtYWdhaW5zdC1zbmMtbGF2YWxpbi1zaG91bGQtZ28v0gEA']
32,"[""Testimony by Butts will likely just prolong the Liberals\\' SNC-Lavalin agony""]",['https://news.google.com/articles/CBMidmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS10ZXN0aW1vbnktYnktYnV0dHMtd2lsbC1saWtlbHktanVzdC1wcm9sb25nLXRoZS1saWJlcmFscy1zbmMtbGF2YWxpbi_SAQA']
33,['Liberals’ feminist agenda still intact despite departure of Philpott Wilson-Raybould: minister'],['https://news.google.com/articles/CAIiEEkn-xIYR2Dsp8M14palzLIqGQgEKhAIACoHCAowqeP_CjDdg_oCMNTh6QU']
34,['Pakistan-India train service resumes as border tensions ease'],['https://news.google.com/articles/CAIiEAQT03ZnLNNc0IuV059qRIwqGQgEKhAIACoHCAow6f-ICzDjj4gDMNC_nwY']
