	Headline	Link
21	Jury finds Adele Sorella guilty of second-degree murder in deaths of young daughters	./articles/CBMiemh0dHBzOi8vbW9udHJlYWwuY3R2bmV3cy5jYS9qdXJ5LWZpbmRzLWFkZWxlLXNvcmVsbGEtZ3VpbHR5LW9mLXNlY29uZC1kZWdyZWUtbXVyZGVyLWluLWRlYXRocy1vZi15b3VuZy1kYXVnaHRlcnMtMS40MzIxODc30gGGAWh0dHBzOi8vYmV0YS1jdHZuZXdzLWNhLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvYmV0YS5jdHZuZXdzLmNhL2xvY2FsL21vbnRyZWFsLzIwMTkvMy80LzFfNDMyMTg3Ny5odG1sP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
22	1 in 4 Canadians say SNC-Lavalin affair will influence their vote: Nanos	./articles/CAIiEJwV30eqoeknZA1E39yLx0oqGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
23	Liberals seek to change channel from SNC-Lavalin, focus on climate plan	./articles/CBMifGh0dHBzOi8vbmF0aW9uYWxwb3N0LmNvbS9wbW4vbmV3cy1wbW4vY2FuYWRhLW5ld3MtcG1uL2xpYmVyYWxzLXNlZWstdG8tY2hhbmdlLWNoYW5uZWwtZnJvbS1zbmMtbGF2YWxpbi1mb2N1cy1vbi1jbGltYXRlLXBsYW7SAckBaHR0cHM6Ly9uYXRpb25hbHBvc3QtY29tLmNkbi5hbXBwcm9qZWN0Lm9yZy92L3MvbmF0aW9uYWxwb3N0LmNvbS9wbW4vbmV3cy1wbW4vY2FuYWRhLW5ld3MtcG1uL2xpYmVyYWxzLXNlZWstdG8tY2hhbmdlLWNoYW5uZWwtZnJvbS1zbmMtbGF2YWxpbi1mb2N1cy1vbi1jbGltYXRlLXBsYW4vYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
24	Wilson-Raybould running as a Liberal in the federal election	./articles/CAIiEPEtCkfetCNP9jlTuYPAJ-AqGQgEKhAIACoHCAow6f-ICzDjj4gDMKGZnwY
25	More than half of Canadians say charges against SNC-Lavalin should go to criminal trial: poll	./articles/CBMid2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS1tb3JlLXRoYW4taGFsZi1vZi1jYW5hZGlhbnMtc2F5LWNoYXJnZXMtYWdhaW5zdC1zbmMtbGF2YWxpbi1zaG91bGQtZ28v0gEA
26	Testimony by Butts will likely just prolong the Liberals\' SNC-Lavalin agony	./articles/CBMidmh0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vcG9saXRpY3MvYXJ0aWNsZS10ZXN0aW1vbnktYnktYnV0dHMtd2lsbC1saWtlbHktanVzdC1wcm9sb25nLXRoZS1saWJlcmFscy1zbmMtbGF2YWxpbi_SAQA
27	Athabasca Chipewyan First Nation Chief Allan Adam Calls For Public Inquiry Into Coerced Sterilization Concern	./articles/CAIiECWwUGGFdCZzFz_jG-zckvAqFwgEKg8IACoHCAow1qfAAjCkrz8w8NBI
28	Coerced sterilization allegations a \'crisis\' that demands public inquiry: chief	./articles/CAIiENjQxZykOnuwjZiY6tM8C60qGQgEKhAIACoHCAow6f-ICzDjj4gDMJTFnwY
29	Coerced sterilizations show a ‘crisis’ that warrants a public inquiry: Chief	./articles/CAIiECZY2QnxE4HHyQwymnljPOsqGQgEKhAIACoHCAowqeP_CjDdg_oCMJXg6QU
30	At least 23 dead in Alabama after tornadoes ravage the southeast, causing \'catastrophic\' damage	./articles/CBMikgFodHRwczovL25hdGlvbmFscG9zdC5jb20vbmV3cy93b3JsZC9hdC1sZWFzdC0yMy1kZWFkLWluLWFsYWJhbWEtYWZ0ZXItb25lLW9mLXRoZS13b3JzdC10b3JuYWRvZXMtcmF2YWdlLXRoZS1zb3V0aGVhc3QtY2F1c2luZy1jYXRhc3Ryb3BoaWMtZGFtYWdlc9IB3wFodHRwczovL25hdGlvbmFscG9zdC1jb20uY2RuLmFtcHByb2plY3Qub3JnL3Yvcy9uYXRpb25hbHBvc3QuY29tL25ld3Mvd29ybGQvYXQtbGVhc3QtMjMtZGVhZC1pbi1hbGFiYW1hLWFmdGVyLW9uZS1vZi10aGUtd29yc3QtdG9ybmFkb2VzLXJhdmFnZS10aGUtc291dGhlYXN0LWNhdXNpbmctY2F0YXN0cm9waGljLWRhbWFnZXMvYW1wP2FtcF9qc192PTAuMSN3ZWJ2aWV3PTEmY2FwPXN3aXBl
31	Trudeau dismisses China report anonymously accusing Kovrig, Spavor of espionage	./articles/CAIiEPOH9UZLtD1_m6jO_w5pm5kqGQgEKhAIACoHCAow6f-ICzDjj4gDMKGZnwY
32	Why Canada represented U.S. authorities’ ‘best chance’ to capture Huawei’s Meng Wanzhou	./articles/CAIiEHt8gAxrEy1LEw_Qm5FUl3oqFwgEKg4IACoGCAow6bV4MPfJDDDB1MUF
33	Ottawa to proceed with Meng extradition request, Trudeau says, as China accuses detained Canadians of spying	./articles/CBMia2h0dHBzOi8vd3d3LnRoZWdsb2JlYW5kbWFpbC5jb20vd29ybGQvYXJ0aWNsZS1jaGluYS1hY2N1c2VzLWRldGFpbmVkLWNhbmFkaWFucy1vZi1zcHlpbmctZGF5cy1hZnRlci1odWF3ZWkv0gEA
